Timestamp,Session_ID,User_ID,Device,Clicks,Avg_Latency_ms,Rule_Triggered,ML_Triggered,ML_Score
,3e76fee0-04d6-48b7-b765-bda6b4bcf1e6,usr_74926,bot_scraper,7,8.29,True,False,0.0
,3e420752-54cd-4985-9c3f-0f6fc1fa64e1,usr_96081,bot_scraper,3,11.67,True,False,0.0
,ff631ca4-c30e-4c49-a30c-28e23203eaaf,usr_88112,tablet,5,6052.4,True,False,0.0
,2b15183f-b204-40fb-ae61-e99927273ed4,usr_86739,bot_scraper,2,10.0,True,False,0.0
,b29dd84d-bdd1-4d16-adaa-25a9bfaf715f,usr_10936,bot_scraper,7,11.0,True,False,0.0
,f0e1cb66-84d5-4a69-b335-a2d8ad470abd,usr_80207,tablet,11,5274.64,True,False,0.0
,84f25a97-914a-4c69-91c1-a787c6b3ec89,usr_62883,desktop,12,122.75,False,True,-0.6065
,ff631ca4-c30e-4c49-a30c-28e23203eaaf,usr_88112,tablet,8,6079.88,True,False,0.0
,4e73ba27-d61b-4c7b-87ba-3cead3a0e7e3,usr_39968,bot_scraper,2,4.5,True,False,0.0
,20094fcf-3b97-4986-b77e-6ba183e71de2,usr_68838,mobile,13,128.92,False,True,-0.6239
,47d5010f-7d03-434a-a454-4f1113a4f1f7,usr_40543,tablet,14,123.93,False,True,-0.6529
,48b9e261-b1c8-482f-9389-d92e6716b773,usr_50966,desktop,9,4559.44,True,False,0.0
,f53f35f1-4332-490c-b5a1-5f035c75b315,usr_17658,desktop,14,121.64,False,True,-0.6271
,2b15183f-b204-40fb-ae61-e99927273ed4,usr_86739,bot_scraper,9,10.22,True,False,0.0
,49f5a2f8-fad6-4f0a-b1b4-a42296a5b7d9,usr_88659,mobile,9,121.44,False,True,-0.6261
,ebf5219b-fb3c-4a87-b690-a822f09a9db8,usr_90162,mobile,14,5406.71,True,True,-0.6591
,0a4672e0-d807-4d05-951c-114678b4d1ea,usr_51025,desktop,13,111.77,False,True,-0.6168
,37e1a54f-ef3a-4813-955c-8be703d0f1a0,usr_22203,desktop,11,122.64,False,True,-0.6433
,ecdf28c1-ec5a-4836-a13d-8c709c6f4bce,usr_43477,mobile,6,5075.83,True,False,0.0
,0b444614-0a3d-4319-abd3-25f8cc39e28a,usr_34823,bot_scraper,11,11.64,True,False,0.0
,addacfd5-9fba-4431-896e-297dde994ef5,usr_56517,desktop,9,119.89,False,True,-0.609
,4e73ba27-d61b-4c7b-87ba-3cead3a0e7e3,usr_39968,bot_scraper,3,8.67,True,False,0.0
,9fdec3b9-b811-4d68-9994-41c26ca4ffa8,usr_70922,desktop,13,118.38,False,True,-0.6065
,dffd8e40-91f1-44ef-93e0-a77774c3fe6f,usr_91993,mobile,7,87.71,False,True,-0.6012
,dcb85f88-b623-4270-b559-afe8ce271bea,usr_00469,desktop,14,99.07,False,True,-0.6708
,ccc44f10-5d78-4903-857f-41dabc987f86,usr_74457,tablet,10,137.9,False,True,-0.6035
,3f78862c-bb75-43d7-9e0e-7f1db5edc5b5,usr_56819,mobile,14,130.43,False,True,-0.6338
,8e7748ab-e3e7-4918-98c0-143ab09dc7c0,usr_09538,mobile,11,126.0,False,True,-0.6085
,c69039be-ef4d-464d-bc5d-21348c946931,usr_68461,desktop,13,124.31,False,True,-0.6173
,e64ec57e-f11d-4c59-a49e-9ee2642e87c2,usr_38423,tablet,14,118.86,False,True,-0.6212
,d9c9643e-d933-472a-8fd2-367cf39bd76e,usr_54175,mobile,4,5044.0,True,False,0.0
,93a7738d-2d07-49be-be57-49ad858fde34,usr_40668,tablet,11,118.91,False,True,-0.6001
,d3b9afc0-244e-403a-a8ba-6a550cc00cc6,usr_67814,mobile,11,132.0,False,True,-0.6032
,024b09a1-9144-43d4-8566-0e4345e0fbc0,usr_58074,desktop,4,5023.5,True,False,0.0
,fa89e647-0e25-439c-8dce-416081ed88e2,usr_40445,mobile,11,136.73,False,True,-0.621
,1d0dafc4-009b-4963-9616-475eb22ea2a5,usr_18530,bot_scraper,7,11.14,True,False,0.0
,94723ba5-474c-4dae-a6c2-e159d92a2d4a,usr_12489,tablet,14,107.29,False,True,-0.6194
,6ffdd2c6-2a75-4cfe-8bd1-ce494c14433b,usr_47319,tablet,11,121.82,False,True,-0.6052
,37c7395c-5cc5-40c5-9c6b-552bac0b3b76,usr_27354,bot_scraper,9,9.78,True,False,0.0
,3ec55c2a-27ea-4c48-baa2-4521561c44d5,usr_90491,tablet,10,109.2,False,True,-0.6052
,77f5f1c2-8045-4973-a2ef-935bbf94a447,usr_91357,bot_scraper,1,11.0,True,False,0.0
,26266cd2-5b7b-4afd-9200-42bdca66333e,usr_58354,bot_scraper,3,7.33,True,False,0.0
,def2002b-89f0-40f9-8fe9-8a9bce2a2e57,usr_51923,mobile,13,4555.31,True,True,-0.6334
,17af8b52-5233-4d0c-9263-b000f70f56ea,usr_60771,mobile,12,115.75,False,True,-0.6069
,afde1bed-5eb4-4968-8a55-7cb4161589d7,usr_07218,bot_scraper,9,10.33,True,False,0.0
,02d38c3d-ccc3-421f-a9e9-2d13803a8a43,usr_10087,mobile,10,102.6,False,True,-0.6434
,ad652f26-e315-44a9-9dce-546143b98a32,usr_05283,desktop,9,5227.56,True,False,0.0
,024b09a1-9144-43d4-8566-0e4345e0fbc0,usr_58074,desktop,4,4988.25,True,False,0.0
,f2b797bb-8978-4068-9a38-69187cb57027,usr_17404,tablet,10,4046.7,True,False,0.0
,cd9a3ff9-1e9a-4b27-a428-d19cc84df9d7,usr_39450,tablet,12,105.83,False,True,-0.6481
,0f8164b5-b636-4bad-bdad-76ac790e5e7b,usr_28154,mobile,12,126.58,False,True,-0.6204
,c0e6f5ad-408f-405d-8eaa-ce0993938f5d,usr_63295,tablet,12,117.83,False,True,-0.6124
,021c9792-95c3-4856-b499-9f2e3f474046,usr_24201,tablet,12,118.75,False,True,-0.605
,b82fdc84-6962-4a77-9e01-b7bdcc961235,usr_48899,desktop,14,118.5,False,True,-0.6212
,09fe829c-da37-4f3d-8a3c-2e44214b060b,usr_30971,tablet,14,93.29,False,True,-0.6391
,77f5f1c2-8045-4973-a2ef-935bbf94a447,usr_91357,bot_scraper,8,13.12,True,False,0.0
,26266cd2-5b7b-4afd-9200-42bdca66333e,usr_58354,bot_scraper,10,11.6,True,False,0.0
,61e1043f-d89d-473c-a4ed-d2a9aa86fc4b,usr_77565,tablet,6,5273.67,True,False,0.0
,39976129-9c2a-4211-93ba-513b5bcbbbbe,usr_73287,bot_scraper,8,8.38,True,False,0.0
,3c1edeeb-7c77-4ddc-8f4b-61f3cf47a823,usr_35890,desktop,10,4733.4,True,False,0.0
,fc70c2fb-c508-44ca-87ae-3e3b2b180fec,usr_42870,tablet,13,120.85,False,True,-0.5993
,cd9c0820-d63f-4dc9-8783-e9acbf2078d1,usr_07094,tablet,14,116.29,False,True,-0.6303
,acca6e25-2339-4dd3-b029-bfcbd9cc1877,usr_55032,tablet,12,128.42,False,True,-0.6068
,ce2dd085-93fa-4592-876b-249d7ae84fba,usr_94261,tablet,14,110.14,False,True,-0.6723
,f2b797bb-8978-4068-9a38-69187cb57027,usr_17404,tablet,4,5557.25,True,False,0.0
,61e1043f-d89d-473c-a4ed-d2a9aa86fc4b,usr_77565,tablet,3,3283.33,True,False,0.0
,36514321-20a2-4f4e-bc1d-d6af8c230a54,usr_42605,mobile,9,5900.22,True,True,-0.6034
,aa3498a2-8d7c-4e45-b104-374e2e8df074,usr_14108,mobile,13,110.08,False,True,-0.6075
,39976129-9c2a-4211-93ba-513b5bcbbbbe,usr_73287,bot_scraper,3,4.67,True,False,0.0
,1b15fb6f-401e-4fda-8b47-dfa8504ff934,usr_01492,mobile,8,3600.5,True,False,0.0
,27383010-faf2-44b3-ada2-671b36df2d77,usr_86720,desktop,14,112.64,False,True,-0.6176
,f6bee5ee-d514-4db8-a951-6fba7c289bad,usr_28397,mobile,12,4347.0,True,True,-0.6212
,6de08cc3-9470-4278-8a16-2799104cb35d,usr_31203,mobile,14,114.5,False,True,-0.6036
,8062df3d-c766-443c-a002-270607b2addb,usr_08742,desktop,11,131.73,False,True,-0.6144
,605fa276-ae5e-4b0a-b1a6-a15f1ff48b88,usr_49203,mobile,14,121.57,False,True,-0.6043
,4dbce1f9-9cd9-418a-adb8-4616302cd166,usr_29586,desktop,7,145.0,False,True,-0.6138
,36514321-20a2-4f4e-bc1d-d6af8c230a54,usr_42605,mobile,4,4464.75,True,False,0.0
,d20b1779-ec46-4740-a624-e6335083ef8c,usr_90874,mobile,4,4116.5,True,False,0.0
,f94e6cc6-5c56-4118-bccd-2b31dddda756,usr_22784,bot_scraper,10,14.7,True,False,0.0
